index,game_question_index,answer,explanation,right
0,0,Fit for 55,"Oops, that's wrong! The Fit for 55 is a legislation package, aimed to support the EU's commitment towards reducing emissions by 55% in 2030. It presents a policy action plan on reaching the EU set targets.",false
1,0,European Green Deal,"That's correct! In response to the EU Council's request in June 2019, the European Green Deal was proposed by the EU Commission in December 2019, with a focus of emission reduction targets of 50-55% by 2030",true
2,0,European Climate Law,"Oops, that's wrong! The European Climate Law is the legal transposition of the European Green Deal. It was proposed in March 2020.",false
3,0,European Climate Change Programme,"Oops, that's wrong! The European Climate Change Programme was launched in June 2000 to help identify the most environmentally and cost-effective policies and measures that can be taken at European level to cut greenhouse gas emissions.",false
4,1,60%,"Oops, that's wrong! The 60% reduction levels are set as the new target for 2030 following recent amendments in the deal.",false
5,1,55%,"Oops, that's wrong! The 55% reduction levels were set as the initial target for 2030.",false
6,1,23%,That's correct! The emission reduction levels were said to be 23% in 2018 when compared to 1990 levels.,true
7,1,18%,"Oops, that's wrong! The emission reduction levels were said to be 23%. ",false
8,2,"Yes, because majority was achieved","That's right! The European Parliament requires an absolute majority to pass a vote in plenary, if quorum is achieved (i.e. enough Members of Parliament are present for the vote).",true
9,2,"No, not enough Members of Parliament were present","Oops, that's incorrect! Quorum is achieved (i.e. enough Members of Parliament are present for the vote to be valid) if one-third of all Members of Parliament are present. There are 705 Members in the European Parliament, so if 235 members are present for a vote, it is valid.",false
10,2,"Yes, because Members of Parliament from the most powerful countries voted for","Oops, that's incorrect! Each vote of a Member of Parliament is weighted the same, regardless of the economic or social status of the country they represent.",false
11,2,"No, the vote needed to be unanimous for the resolution to pass","Oops, that's incorrect! The European Parliament requires an absolute majority to pass a vote in plenary. The vote does not need to be unanimous.",false
12,3,Climate Diplomacy,"Oops, that's wrong! Climate Diplomacy aims to promote a unified global fight against climate change, through many efforts such as financing developing nations, bilateral relations and UN organizations.",false
13,3,Adaptation Strategy,"Oops, that's wrong! The adaptation strategy was adopted to share strategies on adapting to climate change. It sets out on how climate change impacts are inevitable and how to become climate resilient by 2050.",false
14,3,European Climate Pact,"Oops, that's wrong! The European Climate Pact is an EU-wide initiative that encourages people, communities and organization to connect and share knowledge related to climate change and solutions towards climate neutrality.",false
15,3,European Climate Law,That's correct! The European Climate Law proposes a legally binding target of reaching net zero greenhouose gas (GHG) emissions by 2050.,true
16,4,There were protesters outside the parliament,"Oops, that's wrong!  Although most climate change focused organisations pushed for 65% emission reduction targets, the parliament voted in favour of a 60% target instead, finding it to be more feasible.",false
17,4,A member of the European Parliament pushed for it.,"That's correct! Jytte Guteland, the Swedish lawmaker pushed for stricter targets and won the votes of 392 members versus 161 against and 142 abstaining.",true
18,4,The EU Commission recommended it.,"Oops, that's wrong! The initial targets of 55% emission reduction by 2030 compared to 1990 levels was was proposed by the EU Commission.",false
19,4,It never happened. The EU still has a target of 55% emission reduction targets,"Oops, that's wrong! The correct answer is the EU Parliament has voted in favour of increasing the initial target from 55% to 60% by 2030 compared to 1990 levels",false
20,5,They are both legislative bodies with the power to adopt laws.,That's right! The legislative power is exercised by codecision between the Council of the EU and the European Parliament.,true
21,5,Because the Commission recommended it.,"Oops, that's wrong! Although the EU Comission can recommend legislations, the EU Parliament and the Council of the EU may reject it.",false
22,5,Because EU leaders were afraid this would lead to conflict.,"Oops, that's wrong! Conflict may sometimes be part of the legislative process which leads to negotiations and compromises to achieve a common agreement for a law.",false
23,5,Because the Council of the EU has the final call.,"Oops, that's wrong! The legislative power is shared between the EU Parliament and the Council of the EU.",false
24,6,Emergency negotiations,"Oops, that's wrong! Although the climate discution is an emergency, the negotiations between the European Parliament and the EU council are not called Emergency negotiations.",false
25,6,Climate negotiations,"Oops, that's wrong! These specific negotiations are related to climate, but they are not related after it.",false
26,6,Trilogue negotiations,"That's right! The term trilogue comes from the fact that negotiations on the text involve three different institutions: The EU Parliament, the Council of the EU and the EU Commission (as a mediator).",true
27,6,Voting negotiations,"Oops, that's wrong! These negotiations do not finish by vote, but by an common agreement between the decision-making institutions.",false
