index,country_index,country,organisation_index,organisation
0,0,EU,0,European Youth Energy Network
1,0,EU,1,European Youth Parliament
2,0,EU,2,European Commission
3,0,EU,3,Fridays for Future
4,0,EU,4,Young Leaders in Energy and Sustainability (YES-Europe)
5,0,EU,5,Generation Climate Europe
6,0,EU,6,Student Energy
7,0,EU,7,Youth and Environment Europe
8,0,EU,8,Greenpeace
9,0,EU,9,The European Energy Bureau
10,0,EU,10,European Environment Agency
11,0,EU,11,Sustainable Energy for All (SEforALL)
12,0,EU,12,Institute for European Environmental Policy
13,0,EU,13,E3G
14,0,EU,14,AEGEE Europe 
15,0,EU,15,IGLYO 
16,0,EU,16,EU Youth Dialogue 
17,0,EU,17,European Youth Mental Health 
18,1,Germany,18,Youth Policy Days 
19,1,Germany,19,Jugenddialog
20,2,Italy,20,Info Cooperation
21,2,Italy,21,Local Conference of Youth on Climate Change
22,2,Italy,22,Next Energy
23,2,Italy,23,Youth in Action for Sustainable Development Goals
24,2,Italy,24,#2021Ultimachiamata
25,2,Italy,25,Italian Climate Network
26,2,Italy,26,Italy for Climate 
27,2,Italy,27,“In marcia con il clima”
28,2,Italy,28,Change for Planet
29,0,EU,29,The Climate Reality Project
30,2,Italy,30,Change the World for Democracy (CW4D)
31,2,Italy,31,Officine Italia
32,2,Italy,32,Giovani delle Acli (GA)
33,2,Italy,33,Gruppo Giovani Imprenditori di Assolombarda
34,2,Italy,34,Generazione Zero 
35,2,Italy,35,Orizzonti Politici
36,2,Italy,36,Tortuga
37,2,Italy,37,GIOVANI2030
38,2,Italy,38,Osthello
39,2,Italy,39,Campus Mentis
40,2,Italy,40,Youth Camps
41,4,Slovenia,41,Youth for Climate Justice
42,4,Slovenia,42,No Excuse Slovenia
43,4,Slovenia,43,“Youth for their climate future” campaign by Umanotera
44,4,Slovenia,44,Slovenian Democratic Youth
45,4,Slovenia,45,National Youth Council of Slovenia 
46,4,Slovenia,46,Movit
47,4,Slovenia,47,Mlada Slovenija
48,3,Portugal,48,Now us
49,3,Portugal,49,Youth Guarantee
50,3,Portugal,50,AIDGLOBAL
51,3,Portugal,51,Portuguese Energy Association (APE)
52,3,Portugal,52,Lusophone Association for Renewable Energy (ALER)
53,3,Portugal,53,Portuguese Renewable Energy Association (APREN)
