index,policy_plan_index,policy_plan,institution_index,institution,description
0,0,EU Green Deal,5,European Commission,"The European Commission is the institution which proposed the Green Deal, asking for endorsement from the European Parliament and Council on December 11th 2019."
1,0,EU Green Deal,0,DG ENER,"DG ENER is responsible for key elements of the Green Deal related to clean energy, including the Hydrogen Strategy and the Offshore Renewable Energy Strategy."
2,0,EU Green Deal,1,DG CLIMA,"Within the Green Deal, DG CLIMA is responsible for key climate-related components, such as the EU's Climate Adaptation Strategy."
3,0,EU Green Deal,2,EU Parliament,"The European Parliament adopted a favourable position towards the Green Deal in January 2020, but pushed for more stringent targets in the upcoming Climate Law (the legal transposition of the Green Deal). The European Parliament officially endorsed the Climate Law in June 2021 (by a vote of 442 to 203)."
4,0,EU Green Deal,3,Council of the European Union,"Council of the EU reached a provisional agreement with the Parliament on the proposed Climate Law, the legal transposition of the Green Deal, in April 2021. In late June 2021, it green-lighted the Climate Law: 26 of the 27 Member States voted for the Climate Law, while one abstained."
5,0,EU Green Deal,4,European Council,"The European Council was the driving force behind the initiation of the Green Deal. In June 2019, it asked the Commission to come up with a plan for reaching climate neutrality by 2050. Just 6 months later, the Commission proposed the Green Deal."
6,0,EU Green Deal,6,ExxonMobil,"ExxonMobil is one of the world's largest publicly traded oil and gas companies. They lobbied very hard  for a weaker EU Green Deal in the earlier stages of its formulation. They attempted to change the Deal in a way that puts less emphasis on the importance of reducing carbon dioxide emissions from transport (i.e. from using petroleum, derived from oil, for fuel)."
7,0,EU Green Deal,7,BP plc,"BP is pushing the EU to weaken the definition of what qualifies as a sustainable energy source. It called for an increase in the emission limits that gas plants would have to meet to allow them to be labelled ""green"" without requiring the immediate installation of carbon capture and storage (CCS) technology, which is still deemed too expensive for large-scale use."
8,0,EU Green Deal,8,European Crop Protection Association,ECPA represents the crop protection industry in Europe. The farming and chemical lobbies in this group attempted to weaken new EU targets to halve pesticide use by 2030. ECPA suggested to European Commission officials that the target set under EU Green Deal was double than what could be achieved in the next decade.
9,0,EU Green Deal,9,Wuppertal Institute,The Wuppertal Institute takes the opportunity to present some of its projects and publications on the topic of reducing carbon dioxide emissions by 50% or even 55% compared to 1990 levels. It also provides suggestions for implementing the European Green Deal by contributing to the integrated industry and climate policies. 
10,0,EU Green Deal,10,Fraunhofer Green Deal Series,Fraunhofer has organized various webinars on  topics that are related to particular actions presented in the Green Deal.They highlight the Fraunhofer's scientific work that are linked to these actions and connect the Fraunhofer researchers with policymakers in Brussels. 
11,1,EU Youth Strategy,12,European Youth Parliament,"The European Youth Parliament provides a platform for youth to develop and exchange ideas while getting familiar with the policymaking process of the EU. To do so, the EYP arranges up to 500 annual non-formal, peer-to-peer, educational events, bringing together roughly 30,000 young changemakers from 40 countries across Europe."
12,1,EU Youth Strategy,13,European Steering Committee for Youth (CDEJ),The Steering Committee is formed by representatives in youth policy matters from 50 states (part of the European Cultural Convention). It oversees the Youth for Democracy programme and it advises the Committee of Ministers on youth-related matters.
13,1,EU Youth Strategy,14,Advisory Council on Youth (CCJ),The Advisory Council is a non-governmental partner to the Council of the EU and the Commission. It sets the standards and work priorities of the Council of the EU in the youth sector.
14,1,EU Youth Strategy,15,European Youth Information and Counselling Agency (ERYICA),"The agency is an independent European organisation composed of national and regional youth information bodies. It develops, supports and promotes quality policies for youth information."
15,3,Germany's National Youth Strategy,34,"Federal Ministry for Family Affairs, Senior Citizens, Women and Youth (BMFSFJ)","Federal-level Ministry supporting families, elderly, women and children, ensuring equal rights between women and men, protecting children from abuses of all kinds and looking after policies for senior citizens."
16,3,Germany's National Youth Strategy,35,Federal Office of Family Affairs and Civil Society Functions (BAFzA),"Modern service provider which operates within the mandate of the Federal Ministry for Family Affairs, Senior Citizens, Women and Youth. This organisation works to promote civil society functions, provide guidance and advice, and support and administer related Ministry activities"
17,3,Germany's National Youth Strategy,36,Bundesjugendkuratorium,"Expert body with up to 15 experts from politics, administration, associations and science, the Federal Youth Board advises the Federal Government on fundamental questions of child and youth welfare and on cross-sectional questions of child and youth policy. Young people are included in the consultations through advisory activities"
18,3,Germany's National Youth Strategy,37,Advisory council for the Federal Volunteer Service,"Institution advising BMFSFJ on matters related to the Federal Volunteer Service. The council meets once a year and consists of 23 experts from the practical field, who are appointed in line with the regulations of Section 15 of the Act on the Federal Volunteer Service (Bundesfreiwilligendienstgesetz, BFDG)."
19,3,Germany's National Youth Strategy,38,Advisory board convened for a joint youth strategy ,"Institution advising BMFSFJ on developing and implementing the Federal Government's Youth Strategy. 19 experts from academia, public administration and child and youth organisations sit on the council."
20,4,Italy's National Energy and Climate Plan,39,Ministry of Economic Development ,"On 21 January 2020, the Ministry of Economic Development published the text of the NECP, prepared with the Ministry of the Environment and the Protection of the Territory and the Sea, and the Ministry of Infrastructure and Transport."
21,4,Italy's National Energy and Climate Plan,41,Ministry for Ecological Transition ,"The Ministry of the Environment and the Protection of the Territory and the Sea (Ministry for Ecological Transition since 2021) was mainly responsible for the evaluation of proposals relating to the environment, ecosystem, protection of marine and atmospheric heritage, as well as on environmental impact assessment, strategic environmental assessment, and for integrated environmental authorization."
